model,test_accuracy,weighted_precision,weighted_recall,weighted_f1,best_validation_accuracy
Final 3-layer Custom CNN,0.920741,0.923729,0.920741,0.920916,0.909630
Frozen ResNet18,0.824444,0.829347,0.824444,0.823168,0.815309
